time,vehicle-id,x,y,distance,lane-ID
1,1,-13.313690 ,7.756302 ,20.723663 ,1
2,1,-11.551914 ,7.697978 ,22.485814 ,1
3,1,-10.216854 ,7.538350 ,23.828019 ,1
4,1,-8.922736 ,7.364091 ,25.086056 ,2
5,1,-7.424598 ,7.356902 ,26.583520 ,2
6,1,-5.499118 ,7.395281 ,28.509362 ,2
7,1,-3.828899 ,7.420049 ,30.212441 ,2
8,1,-2.324868 ,7.275555 ,31.680360 ,2
9,1,-0.916965 ,7.158965 ,33.086218 ,2
10,1,0.507214 ,7.114518 ,34.509704 ,2
11,1,1.905403 ,7.132085 ,35.908002 ,2
12,1,3.346345 ,7.086127 ,37.348341 ,2
13,1,4.973704 ,7.094779 ,38.975703 ,2
14,1,6.719697 ,7.061689 ,40.721303 ,2
15,1,8.402743 ,7.001230 ,42.403813 ,2
16,1,9.672427 ,6.947877 ,43.673130 ,2
17,1,10.739959 ,6.816866 ,44.740112 ,2
18,1,12.401832 ,6.605947 ,46.401928 ,2
19,1,14.258069 ,6.543045 ,48.258324 ,2
20,1,15.730814 ,6.606513 ,49.730902 ,2
21,1,16.826962 ,6.585328 ,50.827092 ,2
22,1,18.390009 ,6.735555 ,52.390021 ,2
23,1,19.785179 ,6.735555 ,53.785191 ,2
18,3,-22.637283 ,7.423868 ,11.471510 ,2
19,3,-21.011448 ,7.416141 ,13.084765 ,2
20,3,-19.393743 ,7.374834 ,14.621838 ,2
21,3,-17.940860 ,7.185145 ,16.066467 ,2
22,3,-16.535836 ,7.004009 ,17.466810 ,2
23,3,-15.412647 ,7.095534 ,18.591561 ,2
24,3,-14.032294 ,7.169259 ,19.973219 ,2
25,3,-12.380794 ,7.050008 ,21.622039 ,2
26,3,-10.588299 ,6.787624 ,23.411865 ,2
27,3,-9.574577 ,6.646338 ,24.425482 ,2
28,3,-8.790646 ,6.573538 ,25.209672 ,2
29,3,-7.798344 ,6.537500 ,26.202160 ,2
30,3,-6.261189 ,6.596846 ,27.739003 ,2
31,3,-4.632316 ,6.687683 ,29.367687 ,2
32,3,-3.144046 ,6.705348 ,30.855955 ,2
33,3,-1.905054 ,6.660857 ,32.094970 ,2
34,3,-0.713340 ,6.606539 ,33.286791 ,2
35,3,0.560002 ,6.572256 ,34.560238 ,2
36,3,1.767310 ,6.552702 ,35.767613 ,2
37,3,2.960531 ,6.519093 ,36.960974 ,2
38,3,4.277008 ,6.456305 ,38.277784 ,2
39,3,5.752812 ,6.431595 ,39.753718 ,2
40,3,7.377158 ,6.467233 ,41.377813 ,2
41,3,8.932819 ,6.520716 ,42.933194 ,2
42,3,9.999211 ,6.529711 ,43.999541 ,2
43,3,10.881497 ,6.429782 ,44.882311 ,2
44,3,11.938884 ,6.327513 ,45.940395 ,2
45,3,13.229369 ,6.307323 ,47.231001 ,2
46,3,14.558194 ,6.284673 ,48.559970 ,2
47,3,15.978153 ,6.232682 ,49.980338 ,2
48,3,17.297805 ,6.214370 ,51.300104 ,2
49,3,18.602208 ,6.177212 ,52.604806 ,2
50,3,19.959434 ,6.089164 ,53.962891 ,2
54,4,-33.802465 ,7.767858 ,1.247876 ,1
55,4,-32.170834 ,7.696869 ,2.245885 ,1
56,4,-30.493877 ,7.636608 ,3.761879 ,1
57,4,-28.766890 ,7.576857 ,5.423171 ,1
58,4,-27.017034 ,7.517021 ,7.138700 ,1
59,4,-25.350475 ,7.452270 ,8.786908 ,2
60,4,-23.830719 ,7.384394 ,10.192285 ,2
61,4,-22.378089 ,7.317493 ,11.638304 ,2
62,4,-20.933908 ,7.240968 ,13.077286 ,2
63,4,-19.349864 ,7.169453 ,14.657656 ,2
64,4,-17.649312 ,7.106872 ,16.355749 ,2
